model,scenario,region,variable,unit,year,value,Category,Ssp_family
TIAM-ECN 1.1,EN_NPi2020_1200f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.54773976048909,C3,2.0
REMIND-Buildings 2.0,BEG-Budg600-EG,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.4331,C2,2.0
IMAGE 3.0,EN_NPi2020_600f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.517960319761186,C3,2.0
POLES ENGAGE,EN_NPi2020_900,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.899749755859375,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_D,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.228080455535888,C3,2.0
AIM/CGE 2.2,EN_NPi2020_900f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.8672,C3,2.0
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.384,C3,2.0
WITCH 5.0,EN_NPi2020_450f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.4307334792660997,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_900,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.42175030849513,C3,2.0
IMAGE 3.0,CO_2Deg2020,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.507281126920134,C3,2.0
AIM/CGE 2.2,EN_INDCi2030_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.0838,C3,2.0
POLES ENGAGE,EN_NPi2020_600,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,3.066322088241577,C3,2.0
POLES ENGAGE,EN_INDCi2030_600f_COV_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.375107288360596,C3,2.0
GEM-E3_V2021,EN_NPi2020_600_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.457935642318084,C1,2.0
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.5479,C3,2.0
WITCH 5.0,EN_INDCi2030_900,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.25092321937201,C3,2.0
GEM-E3_V2021,EN_INDCi2030_800,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.806761067364741,C3,2.0
GEM-E3_V2021,EN_INDCi2030_600f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.59412879822325,C2,2.0
IMAGE 3.0,EN_NPi2020_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.41018733382225,C3,2.0
GCAM 5.3,NGFS2_Net-Zero 2050,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.2439073,C2,2.0
TIAM-ECN 1.1,EN_INDCi2030_1200f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.547109130411477,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.739703742471772,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.527,C3,2.0
WITCH 5.0,EN_NPi2020_700,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.35409801436738,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_900,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.624580099765041,C3,2.0
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.4323,C3,2.0
WITCH 5.0,EN_INDCi2030_1000_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.1042014504736395,C3,2.0
WITCH 5.0,EN_INDCi2030_900f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.088716307110109,C3,2.0
WITCH 5.0,EN_INDCi2030_600f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.05498988269245,C3,2.0
POLES ENGAGE,EN_NPi2020_300f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.73517370223999,C2,2.0
AIM/CGE 2.2,EN_NPi2020_300f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.274,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6136,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.67,C2,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.6713000000000005,C2,2.0
WITCH 5.0,EN_NPi2020_500f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,2.4178769678032,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000f_NDCp,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.405796672321955,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,6.697157778479803,C3,2.0
WITCH 5.0,EN_NPi2020_800f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,4.867897077837392,C3,2.0
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,3.067545545059204,C1,2.0
AIM/CGE 2.2,EN_NPi2020_400f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,16.0255,C2,2.0
GEM-E3_V2021,EN_INDCi2030_1000,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,8.51347800261666,C3,2.0
WITCH 5.0,EN_INDCi2030_700f,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,7.71924668713557,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000_COV,EU28,Final Energy|Transportation|Passenger,EJ/yr,2050,5.493,C3,2.0
