model,scenario,region,variable,unit,year,value,Category,Ssp_family
POLES ENGAGE,EN_NPi2020_600f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.80528259277344,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_1200f,EU28,Secondary Energy|Electricity,EJ/yr,2050,16.70119151039602,C3,2.0
REMIND-Buildings 2.0,BEG-Budg600-EG,EU28,Secondary Energy|Electricity,EJ/yr,2050,20.265,C2,2.0
IMAGE 3.0,EN_NPi2020_600f,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.950906368,C3,2.0
POLES ENGAGE,EN_NPi2020_900,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.43881034851075,C3,2.0
IMAGE 3.2,SSP2_SPA2_26I_D,EU28,Secondary Energy|Electricity,EJ/yr,2050,14.293465856,C3,2.0
GCAM 5.3,R_MAC_60_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.394412016,C3,2.0
AIM/CGE 2.2,EN_NPi2020_900f,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.0348,C3,2.0
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,EU28,Secondary Energy|Electricity,EJ/yr,2050,35.1554,C3,2.0
GCAM 5.3,R_MAC_45_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,29.413058617808,C1,2.0
WITCH 5.0,EN_NPi2020_450f,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.8257084046934,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_900,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.37262882719336,C3,2.0
IMAGE 3.0,CO_2Deg2020,EU28,Secondary Energy|Electricity,EJ/yr,2050,15.590961152,C3,2.0
AIM/CGE 2.2,EN_INDCi2030_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.8518,C3,2.0
GCAM 5.3,R_MAC_50_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.7164971627,C3,2.0
POLES ENGAGE,EN_NPi2020_600,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.74140930175781,C3,2.0
POLES ENGAGE,EN_INDCi2030_600f_COV_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,18.78518486022949,C3,2.0
GEM-E3_V2021,EN_NPi2020_600_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.52510109746256,C1,2.0
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,EU28,Secondary Energy|Electricity,EJ/yr,2050,25.3797,C3,2.0
WITCH 5.0,EN_INDCi2030_900,EU28,Secondary Energy|Electricity,EJ/yr,2050,31.3469408589336,C3,2.0
GEM-E3_V2021,EN_INDCi2030_800,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.231997989607063,C3,2.0
GEM-E3_V2021,EN_INDCi2030_600f_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.32383900478269,C2,2.0
IMAGE 3.0,EN_NPi2020_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,16.903044608000002,C3,2.0
GCAM 5.3,NGFS2_Net-Zero 2050,EU28,Secondary Energy|Electricity,EJ/yr,2050,28.70725,C2,2.0
REMIND 2.1,CEMICS_opt_1p5,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.9487,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_1200f,EU28,Secondary Energy|Electricity,EJ/yr,2050,17.04405038518481,C3,2.0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.5425,C1,2.0
REMIND 2.1,CEMICS_Linear_1p5,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.1396,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.194493279998312,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.9316,C3,2.0
GCAM 5.3,R_MAC_40_n0,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.93991020868,C3,2.0
WITCH 5.0,EN_NPi2020_700,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.7355537597495,C3,2.0
TIAM-ECN 1.1,EN_NPi2020_900,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.79160743714556,C3,2.0
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,EU28,Secondary Energy|Electricity,EJ/yr,2050,23.2112,C3,2.0
WITCH 5.0,EN_INDCi2030_1000_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.4787507829336,C3,2.0
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP2_P50,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.9558,C3,2.0
WITCH 5.0,EN_INDCi2030_900f_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.381099862725,C3,2.0
GCAM 5.3,R_MAC_65_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.0784699157,C3,2.0
WITCH 5.0,EN_INDCi2030_600f,EU28,Secondary Energy|Electricity,EJ/yr,2050,31.6168209886693,C3,2.0
POLES ENGAGE,EN_NPi2020_300f,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.00045967102051,C2,2.0
AIM/CGE 2.2,EN_NPi2020_300f,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.3869,C1,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.2618,C1,2.0
IMAGE 3.2,SSP2_SPA0_26I_D,EU28,Secondary Energy|Electricity,EJ/yr,2050,13.6063616,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,24.2582,C2,2.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.5612,C2,2.0
WITCH 5.0,EN_NPi2020_500f,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.7271143098637,C1,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000f_NDCp,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.830985578788376,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.11183717902821,C3,2.0
REMIND 2.1,CEMICS_Linear_2C,EU28,Secondary Energy|Electricity,EJ/yr,2050,21.1588,C3,2.0
WITCH 5.0,EN_NPi2020_800f,EU28,Secondary Energy|Electricity,EJ/yr,2050,30.1054527713366,C3,2.0
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,EU28,Secondary Energy|Electricity,EJ/yr,2050,19.332370944,C1,2.0
AIM/CGE 2.2,EN_NPi2020_400f,EU28,Secondary Energy|Electricity,EJ/yr,2050,26.2058,C2,2.0
GEM-E3_V2021,EN_INDCi2030_1000,EU28,Secondary Energy|Electricity,EJ/yr,2050,16.982579764964147,C3,2.0
GCAM 5.3,R_MAC_55_n8,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.17701012872,C2,2.0
WITCH 5.0,EN_INDCi2030_700f,EU28,Secondary Energy|Electricity,EJ/yr,2050,31.2887666996304,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000_COV,EU28,Secondary Energy|Electricity,EJ/yr,2050,22.6149,C3,2.0
