model,scenario,region,variable,unit,year,value,Category,Ssp_family
MESSAGEix-GLOBIOM_1.1,NGFS2_Delayed Transition,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-21.32074807,C3,2.0
TIAM-ECN 1.1,EN_INDCi2030_1000f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-2090.876659657104,C3,2.0
POLES ENGAGE,EN_INDCi2030_2000,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,6231.828125,C5,2.0
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3362.7296,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1039.51623449421,C2,2.0
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,209.1399,C3,2.0
REMIND 1.7,CEMICS-1.5-CDR12,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-6.0396,C1,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR3p,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,1495.180987354994,C3,2.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,768.5369,C3,2.0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-69.37310178186937,C2,2.0
IMAGE 3.0.1,EMF30_Slower-to-faster+SLCF+HFC,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,500.176788330078,C3,2.0
GEM-E3_V2021,EN_NPi2020_1800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,3118.904668254145,C5,2.0
POLES ENGAGE,EN_NPi2020_1600f,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,5816.50927734375,C5,2.0
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-58.09243206667704,C2,2.0
POLES ENGAGE,EN_NPi2020_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,980.024658203125,C3,2.0
WITCH 5.0,EN_INDCi2030_800,World,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2050,-1796.131079072289,C3,2.0
