model,scenario,region,variable,unit,year,value,study
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2025,12.21083429591,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2030,11.450189888714,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2035,15.31166190521,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2040,16.75132735421,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2045,18.01392842921,Study_3
GCAM 7_0,NDC_LTT_NoRus,EU27,Secondary Energy|Electricity,EJ/yr,2050,19.994472358,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2005,12.03143219524272,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2010,12.119613596287246,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2015,13.125075196618122,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.801633268293081,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.659047691357053,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2030,16.916739011354835,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2035,18.260302301197672,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2040,20.177912390830475,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2045,24.135488943397128,Study_3
TIAM_Grantham,NDC_LTT,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.64980743644478,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2005,12.03143219524272,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2010,12.119613596287246,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2015,13.125075196618122,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.801633268293081,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.659047691357053,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2030,16.55373373092894,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2035,18.59680273273791,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2040,21.448663211295006,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2045,25.887504782182937,Study_3
TIAM_Grantham,NDC_LTT_NoRus,EU28,Secondary Energy|Electricity,EJ/yr,2050,27.181050950952873,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2005,12.03143219524272,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2010,12.119613596287246,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2015,13.125075196618122,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2020,12.801633268293081,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2025,13.659047691357053,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2030,17.28190716035818,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2035,18.967960325181924,Study_3
TIAM_Grantham,NDC_LTT_limBIO,EU28,Secondary Energy|Electricity,EJ/yr,2040,21.525927381594297,Study_3
